"Timestamp","Node","CPU_Usage","Memory_Usage","Disk_Usage","Network_Usage","Pod_Status","K8s_Event_Log","System_Log","Network_Error"
"2025-03-22 13:22:04","node-1","88%","74%","19%","High Traffic","Pending","Pod eviction error","Disk Failure","Connection Refused"
"2025-03-22 13:56:17","node-2","6%","68%","31%","Normal","Unknown","Node NotReady","Kubelet restart detected","Timeout detected"
"2025-03-22 13:13:30","node-3","45%","21%","99%","Normal","Failed","Pod eviction error","Kernel Panic","Connection Refused"
"2025-03-22 13:10:04","node-4","54%","91%","19%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:02:41","node-5","64%","46%","17%","Normal","Pending","Pod eviction error","Kubelet restart detected","Connection Refused"
"2025-03-22 13:04:15","node-6","23%","30%","78%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:42:40","node-7","62%","70%","18%","High Traffic","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:47:06","node-8","13%","87%","72%","High Traffic","Pending","Volume mount error","Kubelet restart detected","Timeout detected"
"2025-03-22 13:09:52","node-9","44%","34%","99%","Congested","Terminating","Container OOMKilled","Kubelet restart detected","Packet Loss"
"2025-03-22 13:06:38","node-10","36%","78%","66%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:57:11","node-11","52%","73%","27%","Congested","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:38:53","node-12","45%","98%","74%","High Traffic","Unknown","Container OOMKilled","Kernel Panic","Timeout detected"
"2025-03-22 13:34:27","node-13","88%","50%","15%","Normal","Pending","Container OOMKilled","Kernel Panic","Connection Refused"
"2025-03-22 13:41:21","node-14","54%","22%","79%","Congested","Pending","Volume mount error","Disk Failure","Packet Loss"
"2025-03-22 13:20:45","node-15","59%","15%","73%","High Traffic","Pending","Pod eviction error","Disk Failure","Connection Refused"
"2025-03-22 13:47:35","node-16","64%","33%","73%","Normal","Running","No Issues","Normal Operation","No Issues"
"2025-03-22 13:07:48","node-17","90%","63%","71%","High Traffic","Running","No Issues","Normal Operation","No Issues"
